time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,new_la_code,la_name,sex_of_school_description,phase_type_grouping,type_of_establishment,denomination,admissions_policy,urban_rural,academy_flag,number_of_schools,headcount_of_pupils
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,Independent school,Total,Total,Total,Total,Total,7,1254
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,Non-maintained special school,Total,Total,Total,Total,Total,1,96
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,State-funded AP school,Total,Total,Total,Total,Total,3,101
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,State-funded nursery,Total,Total,Total,Total,Total,7,520
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,State-funded primary,Total,Total,Total,Total,Total,74,24877
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,State-funded secondary,Total,Total,Total,Total,Total,16,19636
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,State-funded special school,Total,Total,Total,Total,Total,6,887
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,831,E06000015,Derby,Total,Total,Total,Total,Total,Total,Total,114,47371
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,E06000016,Leicester,Total,Independent school,Total,Total,Total,Total,Total,13,2391
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,E06000016,Leicester,Total,State-funded AP school,Total,Total,Total,Total,Total,2,52
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,E06000016,Leicester,Total,State-funded primary,Total,Total,Total,Total,Total,82,34869
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,E06000016,Leicester,Total,State-funded secondary,Total,Total,Total,Total,Total,22,24799
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,E06000016,Leicester,Total,State-funded special school,Total,Total,Total,Total,Total,8,1420
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,856,E06000016,Leicester,Total,Total,Total,Total,Total,Total,Total,127,63531
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,E06000017,Rutland,Total,Independent school,Total,Total,Total,Total,Total,6,2092
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,E06000017,Rutland,Total,State-funded primary,Total,Total,Total,Total,Total,17,2753
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,E06000017,Rutland,Total,State-funded secondary,Total,Total,Total,Total,Total,4,3283
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,E06000017,Rutland,Total,State-funded special school,Total,Total,Total,Total,Total,1,3
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,857,E06000017,Rutland,Total,Total,Total,Total,Total,Total,Total,28,8131
